기간,HS코드,품목명,국가명,수출금액,수출중량
2026-08,8542.31.1000,메모리반도체,미국,150000.0,2500
2026-08,8542.32.1000,플래시메모리,베트남,320000.0,4500
2026-08,8541.10.0000,다이오드,미국,5000.0,120
2026-08,8504.40.0000,정류기,베트남,45000.0,900
2026-08,8471.30.0000,노트북,미국,85000.0,300
2026-08,8542.31.2000,비메모리반도체,중국,990000.0,12000
2026-08,8542.32.2000,시스템반도체,베트남,0.0,0
2026-08,8542.31.1000,메모리반도체,미국,500000.0,8000
2026-08,8541.40.0000,광전송장치,베트남,120000.0,1500
2026-08,8504.40.0000,변압기,미국,75000.0,1800
2026-08,8548.90.0000,반도체 웨이퍼,미국,280000.0,3100
2026-08,8542.39.0000,전자집적회로,베트남,610000.0,9000
2026-08,8541.29.0000,트랜지스터,미국,12000.0,300
2026-08,8542.31.3000,메모리모듈,베트남,450000.0,5200
2026-08,8536.50.0000,스위치,미국,32000.0,800
2026-08,8507.60.0000,리튬이온전지,베트남,890000.0,11000
2026-08,8703.23.0000,자동차,미국,1500000.0,250000
2026-08,8542.31.1000,반도체 칩,독일,450000.0,5000
2026-08,8542.31.1000,반도체,미국,-100.0,10
2026-08,8542.32.1000,메모리반도체,베트남,720000.0,8500
2026-08,8542.31.2000,시스템LSI,미국,830000.0,9200
2026-08,8541.30.0000,반도체소자,베트남,23000.0,450
